
2025-05-07 08:11:31 - Procesando archivo: /tmp/php8yDBzQ
2025-05-07 08:11:33 - Total de filas en el archivo: 2967
2025-05-07 08:11:33 - Generando cuerpo del Excel
2025-05-07 08:11:33 - Generando fila para: Andrés Cruz (Fila Excel: 2)
2025-05-07 08:11:33 - Escribiendo cargo 'Delivery Support' en fila 2, columna 1
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 27 (fecha 03/25/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 28 (fecha 03/26/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 29 (fecha 03/27/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 30 (fecha 03/28/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 31 (fecha 03/29/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 32 (fecha 03/30/2025)
2025-05-07 08:11:33 - Escribiendo registro '' en fila 8, columna 33 (fecha 03/31/2025)
2025-05-07 08:11:33 - Listo para guardar el archivo Excel.
2025-05-07 08:11:33 - Guardando archivo Excel en: /home/u589041854/domains/gcshelps.com/public_html/intranet/listadoActividades/tmp/procesado_1746623493_4700.xlsx
2025-05-07 08:11:33 - Archivo generado correctamente: procesado_1746623493_4700.xlsx
2025-05-07 08:11:33 - Generando URL de descarga: https://gcshelps.com/intranet/listadoActividades/descargar_y_borrar.php?file=procesado_1746623493_4700.xlsx
2025-05-07 08:12:32 - Procesando archivo: /tmp/phpIpeAhW
2025-05-07 08:12:34 - Total de filas en el archivo: 2967
2025-05-07 08:12:34 - Generando cuerpo del Excel
2025-05-07 08:12:34 - Generando fila para: Andrés Cruz (Fila Excel: 2)
2025-05-07 08:12:34 - Escribiendo cargo 'Delivery Support' en fila 2, columna 1
2025-05-07 08:12:34 - Escribiendo nombre '' en fila 2, columna 2
2025-05-07 08:12:34 - Escribiendo registro '09:00:00' en fila 2, columna 3 (fecha 03/01/2025)
2025-05-07 08:12:34 - Escribiendo registro '' en fila 2, columna 4 (fecha 03/02/2025)
2025-05-07 08:12:34 - Escribiendo registro '13:34:00' en fila 2, columna 5 (fecha 03/03/2025)
2025-05-07 08:12:34 - Escribiendo registro '13:30:00' en fila 2, columna 6 (fecha 03/04/2025)
2025-05-07 08:12:34 - Escribiendo registro '13:31:00' en fila 2, columna 7 (fecha 03/05/2025)
2025-05-07 08:12:34 - Escribiendo registro '13:28:00' en fila 2, columna 8 (fecha 03/06/2025)
2025-05-07 08:12:34 - Escribiendo registro '13:30:00' en fila 2, columna 9 (fecha 03/07/2025)
2025-05-07 08:12:34 - Escribiendo registro '11:00:00' en fila 2, columna 10 (fecha 03/08/2025)
2025-05-07 08:12:34 - Escribiendo registro '' en fila 2, columna 11 (fecha 03/09/2025)
2025-05-07 08:12:34 - Escribiendo registro '13:30:00' en fila 2, columna 12 (fecha 03/10/2025)
